ID,Term,Definition (English),Alignment with Battery Passport,Category,용어,정의,배터리 여권 정렬,범주,المصطلح,التعريف,المحاذاة مع جواز السفر للبطارية,الفئة,用語,定義,バッテリーパスポートの整合性,カテゴリ,术语,定义,电池护照一致性,类别,ID
400023,Battery Configuration,"Battery arrangement and layout, including pack and module structure.",Configuration Standard,Performance Testing,배터리 구성,배터리 팩과 모듈 구조를 포함한 배터리 배열 및 레이아웃입니다.,구성 표준,성능 테스트,تكوين البطارية,ترتيب وتخطيط البطارية، بما في ذلك هيكل الحزمة والوحدة.,توثيق المعادن الحرجة,المادة الأساسية,重要鉱物含有量,バッテリー内のコバルト、リチウム、ニッケルなどの重要な鉱物含有量。,重要鉱物文書化,コア材料,关键矿物含量,电池中钴、锂和镍等关键矿物的含量。,关键矿物文档,核心材料,400012
400098,Battery Cooling Technology,Technologies used for cooling the battery during operation to prevent overheating.,Cooling Technology,Thermal Management,배터리 냉각 기술,작동 중 과열을 방지하기 위한 배터리 냉각 기술입니다.,냉각 기술,열 관리,تقنية تبريد البطارية,التقنيات المستخدمة لتبريد البطارية أثناء التشغيل لمنع ارتفاع درجة الحرارة.,متطلبات مراقبة الصحة,إدارة البيانات,バッテリー健康指標,バッテリーの全体的な健康状態を示す指数,健康モニタリング要件,データ管理,电池健康指数,随时间推移显示电池整体健康状况的指数,健康监控要求,数据管理,400013
400021,Battery Data Access Protocol,Protocols governing data access and security for battery usage and maintenance data.,Data Access Protocols,Data Management,배터리 데이터 접근 프로토콜,배터리 사용 및 유지보수 데이터에 대한 접근과 보안을 관리하는 프로토콜입니다.,데이터 접근 프로토콜,데이터 관리,بروتوكول الوصول إلى بيانات البطارية,بروتوكولات تحكم في الوصول إلى بيانات البطارية وأمانها.,متطلبات أساسية للـ DPP,إدارة البيانات,デジタルプロダクトパスポート (DPP),デジタル製品パスポート,コアDPP要件,データ管理,数字产品护照 (DPP),数字产品护照,核心DPP要求,数据管理,400014
400090,Battery Design for Recycling,Design considerations making the battery easier to recycle.,Design for Recycling,Sustainability Standards,재활용을 위한 배터리 설계,배터리가 더 쉽게 재활용될 수 있도록 고려된 설계입니다.,재활용을 위한 설계,지속 가능성 표준,تصميم البطارية لإعادة التدوير,الاعتبارات التصميمية التي تسهل إعادة تدوير البطارية.,متطلبات أساسية للـ DPP,إدارة البيانات,DPPアクセス用QRコード,DPPアクセス用QRコード,コアDPP要件,データ管理,数字产品护照访问的二维码,DPP访问二维码,核心DPP要求,数据管理,400015
400028,Battery Disassembly Protocol,Protocols for safe and efficient disassembly of battery units for repair or recycling.,Disassembly Protocols,End-of-Life,배터리 분해 프로토콜,수리 또는 재활용을 위해 배터리 장치를 안전하고 효율적으로 분해하는 프로토콜입니다.,분해 프로토콜,수명 종료,بروتوكول تفكيك البطارية,بروتوكولات لتفكيك وحدات البطارية بأمان وكفاءة من أجل الإصلاح أو إعادة التدوير.,التتبع البياني,التتبع,エンドユーザートレーサビリティ,エンドユーザーを通じてバッテリーの使用状況と状態を追跡する機能。,データトレーサビリティ,トレーサビリティ,终端用户可追溯性,通过最终用户追踪电池的使用和状况的能力。,数据可追溯性,可追溯性,400016
400039,Battery Disposal Protocol,Protocols for safe disposal of batteries at end-of-life.,Environmental Compliance,End-of-Life,배터리 폐기 프로토콜,수명 종료 시점에서 배터리를 안전하게 폐기하기 위한 프로토콜입니다.,환경 준수,수명 종료,بروتوكول التخلص من البطارية,بروتوكولات للتخلص الآمن من البطاريات عند نهاية العمر.,شفافية الإنتاج,إدارة البيانات,生産データの透明性,バッテリーの生産プロセスに関連するデータの透明性。,生産の透明性,データ管理,生产数据透明度,电池生产过程数据的透明度。,生产透明度,数据管理,400017
400060,Battery Durability Testing,Testing procedures to ensure long-term durability of battery cells and modules.,Durability Testing Standard,Quality Assurance,배터리 내구성 테스트,장기적인 배터리 셀 및 모듈 내구성을 보장하는 테스트 절차입니다.,내구성 테스트 표준,품질 보증,اختبار متانة البطارية,إجراءات الاختبار لضمان المتانة طويلة الأمد لخلايا البطارية والوحدات.,متطلبات جواز السفر الرقمي للمنتج,إدارة البيانات,バッテリートラッキング用デジタルツイン,モニタリングとライフサイクル管理のためのバッテリーのデジタル表現。,デジタルプロダクトパスポート要件,データ管理,用于电池跟踪的数字孪生体,用于监测和生命周期管理的电池的数字表示。,数字产品护照要求,数据管理,400018
400030,Battery Energy Flow Management,Control systems for managing energy distribution across battery cells.,Energy Flow Control,Energy Management,배터리 에너지 흐름 관리,배터리 셀 간의 에너지 분배를 관리하는 제어 시스템입니다.,에너지 흐름 제어,에너지 관리,إدارة تدفق طاقة البطارية,أنظمة التحكم لإدارة توزيع الطاقة عبر خلايا البطارية.,تحليل شيخوخة البطارية,إدارة البيانات,バッテリー年齢推定,使用状況と状態に基づくバッテリー年齢の推定アルゴリズム。,バッテリー老化分析,データ管理,电池寿命估算,基于使用和状态估算电池年龄的算法。,电池老化分析,数据管理,400019
400042,Battery Environmental Impact Score,Score representing the environmental impact of battery components and production.,Environmental Impact Assessment,Environmental Impact,배터리 환경 영향 점수,배터리 구성 요소 및 생산의 환경 영향을 나타내는 점수입니다.,환경 영향 평가,환경 영향,درجة التأثير البيئي للبطارية,درجة تمثل التأثير البيئي لمكونات وإنتاج البطارية.,تقدير حالة الشحن,السمة الأساسية للبطارية,充電状態の推定,バッテリーの現在の充電状態を推定するアルゴリズム。,充電状態の推定,コアバッテリー属性,充电状态估算,估计电池当前充电状态的算法。,充电状态估算,核心电池特性,400020
400040,Battery Environmental Risk Assessment,Evaluation of the environmental risks posed by the battery's components and lifecycle.,Environmental Risk Assessment,Environmental Impact,배터리 환경 위험 평가,배터리 구성 요소와 수명 주기가 환경에 미치는 위험을 평가합니다.,환경 위험 평가,환경 영향,تقييم المخاطر البيئية للبطارية,تقييم المخاطر البيئية التي تشكلها مكونات البطارية ودورة حياتها.,بروتوكولات الوصول إلى البيانات,إدارة البيانات,バッテリーデータアクセスプロトコル,バッテリーの使用および保守データのアクセスとセキュリティを管理するプロトコル。,データアクセスプロトコル,データ管理,电池数据访问协议,管理电池使用和维护数据的访问和安全协议。,数据访问协议,数据管理,400021
400064,Battery Fast Charging Rate,Rate at which a battery can be charged in fast charging applications.,Fast Charging Rate,Performance Testing,배터리 고속 충전 속도,고속 충전 응용에서 배터리가 충전될 수 있는 속도입니다.,고속 충전 속도,성능 테스트,معدل الشحن السريع للبطارية,معدل الشحن الذي يمكن للبطارية تحقيقه في تطبيقات الشحن السريع.,مؤشر الصحة,إدارة البيانات,バッテリー健康指標,バッテリーの全体的な健康状態を示す指数。,健康指数,データ管理,电池健康指数,指示电池随时间推移的整体健康状态的指数。,健康指数,数据管理,400022
400079,Battery Fire Resistance,Battery's ability to resist combustion under adverse conditions.,Fire Safety Requirement,Safety Standards,배터리 내화성,역경 조건에서 배터리가 연소에 저항할 수 있는 능력입니다.,화재 안전 요구 사항,안전 기준,مقاومة حريق البطارية,قدرة البطارية على مقاومة الاحتراق في ظل ظروف سيئة.,المعيار التكويني,اختبار الأداء,バッテリー構成,パックとモジュール構造を含むバッテリーの配置とレイアウト。,構成基準,性能テスト,电池配置,电池的排列和布局，包括电池组和模块结构。,配置标准,性能测试,400023
400076,Battery Hazard Rating,Rating assessing potential hazards associated with the battery under different conditions.,Module 9 - Hazard Compliance,Safety Standards,배터리 위험 등급,다양한 조건에서 배터리와 관련된 잠재적인 위험을 평가하는 등급입니다.,모듈 9 - 유해물질 준수,안전 기준,تقييم درجة خطورة البطارية,تقييم للمخاطر المحتملة المرتبطة بالبطارية في ظل ظروف مختلفة.,معيار الشحن السريع,اختبار الأداء,急速充電互換性,バッテリーの急速充電システムとの互換性。,急速充電基準,性能テスト,快充兼容性,电池与快速充电系统的兼容性。,快速充电标准,性能测试,400024
400052,Battery Health Estimation,"Algorithms estimating battery health over time, helping to predict degradation.",Module 8 - Data Management,Data Management,배터리 건강 추정,시간 경과에 따른 배터리 건강 상태를 예측하여 열화를 예측하는 알고리즘입니다.,모듈 8 - 데이터 관리,데이터 관리,تقدير صحة البطارية,تقدير صحة البطارية,تمديد دورة الحياة المعيارية,ابتكار التصميم,モジュール式バッテリーデザイン,バッテリー全体の寿命を延ばすためのモジュール交換を可能にする設計。,モジュールライフサイクル延長,デザインイノベーション,模块化电池设计,模块化设计可以更换电池模块，以延长电池整体寿命。,模块化生命周期扩展,设计创新,400025
400013,Battery Health Index,Index indicating the overall health status of a battery over time.,Health Monitoring Requirement,Data Management,배터리 건강 지수,배터리의 전체 건강 상태를 나타내는 지수입니다.,건강 모니터링 요건,데이터 관리,مؤشر صحة البطارية,مؤشر يوضح الحالة الصحية العامة للبطارية مع مرور الوقت,معدل استرداد المواد,معايير الاستدامة,バッテリーマテリアル回収率,廃棄時にバッテリーから材料を回収する速度。,材料回収率,持続可能性基準,电池材料回收率,电池寿命结束时回收材料的速度。,材料回收率,可持续性标准,400026
400062,Battery Health Monitoring System,System for monitoring battery health in real time.,Health Monitoring System,Data Management,배터리 건강 모니터링 시스템,실시간으로 배터리 건강 상태를 모니터링하는 시스템입니다.,건강 모니터링 시스템,데이터 관리,نظام مراقبة صحة البطارية,نظام لمراقبة صحة البطارية في الوقت الفعلي.,بروتوكولات التفكيك,نهاية العمر الافتراضي,バッテリー分解プロトコル,修理またはリサイクルのためにバッテリーユニットを安全かつ効率的に分解するプロトコル。,分解プロトコル,廃棄後,电池拆解协议,安全有效地拆解电池单元的协议，以便维修或回收。,拆卸协议,寿命终止,400028
400089,Battery Lifecycle Reporting,Reports covering the environmental and performance aspects across the battery lifecycle.,Lifecycle Reporting,Lifecycle Management,배터리 수명 주기 보고,배터리 수명 주기 전반에 걸친 환경 및 성능 측면을 다루는 보고서입니다.,수명 주기 보고,수명 주기 관리,تقرير دورة حياة البطارية,تقارير تغطي الجوانب البيئية والأداء عبر دورة حياة البطارية.,كفاءة إعادة التدوير,نهاية العمر الافتراضي,バッテリーリサイクル効率,バッテリーマテリアルのリサイクル効率の測定。,リサイクル効率,廃棄後,电池回收效率,衡量电池材料回收效率。,回收效率,寿命终止,400029
400045,Battery Lifecycle Tracking,Continuous tracking of battery status across its lifecycle stages.,Lifecycle Tracking,Lifecycle Management,배터리 수명 주기 추적,수명 주기 단계 전반에 걸쳐 배터리 상태를 지속적으로 추적합니다.,수명 주기 추적,수명 주기 관리,تتبع دورة حياة البطارية,تتبع مستمر لحالة البطارية عبر مراحل دورة حياتها.,التحكم في تدفق الطاقة,إدارة الطاقة,バッテリーエネルギーフローマネジメント,バッテリーセル全体でのエネルギー分配を管理する制御システム。,エネルギーフローマネジメント,エネルギー管理,电池能量流管理,管理电池单元中的能量分布的控制系统。,能量流控制,能量管理,400030
400047,Battery Lifespan Estimation,Algorithm predicting the expected lifespan of a battery based on usage data.,Lifespan Estimation,Lifecycle Management,배터리 수명 예측,사용 데이터에 기반하여 배터리의 예상 수명을 예측하는 알고리즘입니다.,수명 추정,수명 주기 관리,تقدير عمر البطارية,خوارزمية لتوقع العمر المتوقع للبطارية بناءً على بيانات الاستخدام.,استدامة - تقرير الكربون,معايير الاستدامة,カーボンフットプリント,カーボンフットプリント,持続可能性 - 炭素報告,持続可能性基準,碳足迹,碳足迹,可持续性 - 碳排放报告,可持续性标准,400031
400050,Battery Management System (BMS),"System that monitors battery health, SoC, and performance.",Module 8 - Data Management,Data Management,배터리 관리 시스템 (BMS),"배터리 상태, SoC 및 성능을 모니터링하는 시스템입니다.",모듈 8 - 데이터 관리,데이터 관리,نظام إدارة البطارية (BMS),نظام إدارة البطارية,استدامة - إعادة التدوير,معايير الاستدامة,リサイクル率,リサイクル率,持続可能性 - リサイクル,持続可能性基準,可回收率,可回收率,可持续性 - 回收,可持续性标准,400032
400026,Battery Materials Recovery Rate,Rate at which materials are recovered from batteries at end-of-life.,Material Recovery Rate,Sustainability Standards,배터리 자재 회수율,수명 종료 시점에서 배터리에서 회수되는 자재의 비율입니다.,자재 회수율,지속 가능성 표준,معدل استرداد مواد البطارية,معدل استرجاع المواد من البطاريات عند نهاية العمر.,استدامة - التأثير البيئي,معايير الاستدامة,環境フットプリント (EF),環境フットプリント,持続可能性 - 環境影響,持続可能性基準,环境足迹 (EF),环境足迹,可持续性 - 环境影响,可持续性标准,400033
400056,Battery Module Compatibility,Compatibility of battery modules across different pack configurations.,Modular Compatibility,Design Innovation,배터리 모듈 호환성,다양한 팩 구성에서 배터리 모듈의 호환성을 보장합니다.,모듈 호환성,디자인 혁신,توافق وحدة البطارية,توافق وحدات البطارية عبر تكوينات حزم مختلفة.,استدامة - الاقتصاد الدائري,معايير الاستدامة,バッテリー循環性,バッテリーの循環性,持続可能性 - 循環経済,持続可能性基準,电池循环性,电池循环性,可持续性 - 循环经济,可持续性标准,400034
400059,Battery Module Efficiency,Measurement of energy efficiency at the module level within battery packs.,Module Efficiency,Performance Testing,배터리 모듈 효율성,배터리 팩 내 모듈 수준에서 에너지 효율을 측정합니다.,모듈 효율성,성능 테스트,كفاءة وحدة البطارية,قياس كفاءة الطاقة على مستوى الوحدة داخل حزم البطارية.,استدامة - إعادة التدوير,معايير الاستدامة,マテリアル回収率,材料回収率,持続可能性 - リサイクル,持続可能性基準,材料回收率,材料回收率,可持续性 - 回收,可持续性标准,400035
400048,Battery Pack Assembly,"Structure and method of arranging battery cells into a cohesive pack, essential for performance and safety.",Core Battery Attribute,Performance Testing,배터리 팩 조립,"배터리 셀을 일관된 팩으로 구성하는 구조 및 방법으로, 성능 및 안전에 필수적입니다.",핵심 배터리 속성,성능 테스트,تجميع حزمة البطارية,تجميع حزمة البطارية,استدامة - إدارة المياه,معايير الاستدامة,生産における水使用量,製造における水使用,持続可能性 - 水管理,持続可能性基準,生产中的水使用量,生产用水量,可持续性 - 水管理,可持续性标准,400036
400103,Battery Pack Serial Number,Unique serial number assigned to each battery pack for traceability.,Serial Number Traceability,Traceability,배터리 팩 일련 번호,추적성을 위해 각 배터리 팩에 할당된 고유한 일련 번호입니다.,일련 번호 추적성,추적성,رقم تسلسلي لحزمة البطارية,رقم تسلسلي فريد مخصص لكل حزمة بطارية لتتبعها.,تقييم دورة الحياة - تقرير الكربون,معايير الاستدامة,ライフサイクル炭素排出量,生産と処分を含むバッテリーのライフサイクル全体に関連する炭素排出量。,ライフサイクル評価 - 炭素報告,持続可能性基準,生命周期碳排放,与电池生命周期（包括生产和处置）相关的总碳排放量。,生命周期评估 - 碳排放报告,可持续性标准,400037
400102,Battery Pack Traceability,Trackability of each battery pack from manufacturing to end-of-life.,Pack Traceability,Traceability,배터리 팩 추적성,생산에서 수명 종료까지 각 배터리 팩을 추적할 수 있는 기능입니다.,팩 추적성,추적성,تتبع حزمة البطارية,تتبع كل حزمة بطارية من التصنيع إلى نهاية العمر.,الاستدامة - تقييم دورة الحياة,معايير الاستدامة,ライフサイクル影響評価,バッテリーライフサイクル全体に関連する環境影響の評価。,持続可能性 - ライフサイクル評価,持続可能性基準,生命周期影响评估,与整个电池生命周期相关的环境影响评估。,可持续性 - 生命周期评估,可持续性标准,400038
400058,Battery Pack Voltage,Measurement of the total voltage output of a battery pack.,Voltage Standard,Performance Testing,배터리 팩 전압,배터리 팩의 총 전압 출력을 측정합니다.,전압 표준,성능 테스트,جهد حزمة البطارية,قياس إجمالي جهد خرج حزمة البطارية.,التوافق البيئي,نهاية العمر الافتراضي,バッテリー廃棄プロトコル,バッテリーの寿命終了時における安全な廃棄のプロトコル。,環境コンプライアンス,廃棄後,电池处置协议,电池寿命结束时的安全处置方案。,环境合规,寿命终止,400039
400063,Battery Performance Analysis,Analysis techniques used to evaluate overall battery performance and efficiency.,Performance Analysis,Performance Testing,배터리 성능 분석,배터리 전체 성능과 효율성을 평가하기 위한 분석 기법입니다.,성능 분석,성능 테스트,تحليل أداء البطارية,تقنيات التحليل المستخدمة لتقييم أداء وكفاءة البطارية بشكل عام.,تقييم المخاطر البيئية,التأثير البيئي,バッテリー環境リスク評価,バッテリーの成分とライフサイクルによって引き起こされる環境リスクの評価。,環境リスク評価,環境影響,电池环境风险评估,评估电池组件和生命周期对环境的潜在风险。,环境风险评估,环境影响,400040
400054,Battery Performance Degradation,Rate at which battery performance declines over time.,Performance Assessment,Performance Testing,배터리 성능 저하,시간이 지남에 따라 배터리 성능이 저하되는 비율입니다.,성능 평가,성능 테스트,تدهور أداء البطارية,معدل تدهور أداء البطارية بمرور الوقت.,تقييم السمية,التأثير البيئي,バッテリー毒性レベル,バッテリー成分の毒性レベルを評価するための評価。,毒性評価,環境影響,电池毒性水平,用于评估电池成分毒性水平的评级。,毒性等级,环境影响,400041
400065,Battery Power Density,"Measurement of power per unit volume, affecting battery efficiency.",Power Density Measurement,Core Battery Attribute,배터리 전력 밀도,배터리 효율성에 영향을 미치는 단위 부피당 전력의 측정입니다.,전력 밀도 측정,핵심 배터리 속성,كثافة الطاقة للبطارية,قياس القدرة لكل وحدة حجم، مما يؤثر على كفاءة البطارية.,تقييم الأثر البيئي,التأثير البيئي,バッテリー環境影響スコア,バッテリー成分と生産の環境影響を表すスコア。,環境影響評価,環境影響,电池环境影响分数,代表电池组件和生产的环境影响的评分。,环境影响评估,环境影响,400042
400070,Battery Quality Management System,System for ensuring consistent quality in battery manufacturing.,Quality Management,Quality Assurance,배터리 품질 관리 시스템,배터리 제조에서 일관된 품질을 보장하기 위한 시스템입니다.,품질 관리,품질 보증,نظام إدارة جودة البطارية,نظام لضمان الجودة المتسقة في تصنيع البطاريات.,استدامة - كفاءة المواد,ابتكار التصميم,アノードフリーバッテリーデザイン,アノードフリーバッテリーデザイン,持続可能性 - 材料効率,デザインイノベーション,无阳极电池设计,无阳极电池设计,可持续性 - 材料效率,设计创新,400043
400091,Battery Raw Material Reuse,Reuse of raw materials recovered during battery recycling processes.,Raw Material Reuse,End-of-Life,배터리 원자재 재사용,배터리 재활용 과정에서 회수된 원자재의 재사용입니다.,원자재 재사용,수명 종료,إعادة استخدام المواد الخام للبطارية,إعادة استخدام المواد الخام المسترجعة أثناء عمليات إعادة التدوير.,المتطلبات الأساسية لدورة الحياة,نهاية العمر الافتراضي,エンドオブライフ (EOL),廃棄（EOL）,コアライフサイクル要件,廃棄後,使用寿命终止 (EOL),使用寿命终止,核心生命周期要求,寿命终止,400044
400029,Battery Recycling Efficiency,Measurement of efficiency in recycling battery materials.,Recycling Efficiency,End-of-Life,배터리 재활용 효율성,배터리 자재 재활용의 효율성을 측정합니다.,재활용 효율성,수명 종료,كفاءة إعادة تدوير البطارية,قياس كفاءة إعادة تدوير مواد البطارية.,تتبع دورة الحياة,إدارة دورة الحياة,バッテリーライフサイクルトラッキング,ライフサイクルの各段階でバッテリーの状態を継続的に追跡する。,ライフサイクルトラッキング,ライフサイクル管理,电池生命周期跟踪,跨生命周期阶段的电池状态持续追踪。,生命周期跟踪,生命周期管理,400045
400094,Battery Repairability Score,Score assessing ease of repair for battery components.,Repairability,Quality Assurance,배터리 수리 가능성 점수,배터리 구성 요소의 수리 용이성을 평가하는 점수입니다.,수리 가능성,품질 보증,درجة إصلاح البطارية,درجة تقييم سهولة إصلاح مكونات البطارية.,بروتوكولات الاستبدال,إدارة دورة الحياة,バッテリー交換プロトコル,安全かつ効果的にバッテリーユニットを交換するためのプロトコル。,交換プロトコル,ライフサイクル管理,电池更换协议,安全有效地更换电池单元的协议。,更换协议,生命周期管理,400046
400046,Battery Replacement Protocol,Protocols for replacing battery units safely and effectively.,Replacement Protocols,Lifecycle Management,배터리 교체 프로토콜,배터리 장치를 안전하고 효과적으로 교체하기 위한 프로토콜입니다.,교체 프로토콜,수명 주기 관리,بروتوكول استبدال البطارية,بروتوكولات لاستبدال وحدات البطارية بأمان وفعالية.,تقدير العمر الافتراضي,إدارة دورة الحياة,バッテリー寿命推定,使用データに基づいてバッテリーの予想寿命を予測するアルゴリズム。,寿命推定,ライフサイクル管理,电池寿命估算,基于使用数据预测电池预期寿命的算法。,寿命估算,生命周期管理,400047
400095,Battery Resource Conservation,Practices aimed at conserving resources in battery production and disposal.,Resource Conservation,Sustainability Standards,배터리 자원 보존,배터리 생산 및 폐기에서 자원을 보존하는 것을 목표로 한 실천입니다.,자원 보존,지속 가능성 표준,حفظ موارد البطارية,الممارسات الهادفة إلى الحفاظ على الموارد في إنتاج البطاريات والتخلص منها.,السمة الأساسية للبطارية,اختبار الأداء,バッテリーパックアセンブリ,バッテリーパックの組立,コアバッテリー属性,性能テスト,电池组装,电池组装,核心电池属性,性能测试,400048
400085,Battery Reuse Potential,"Potential to reuse the battery after its initial application, extending its lifecycle.",Sustainability - Reuse Potential,Sustainability Standards,배터리 재사용 가능성,배터리의 초기 사용 후 수명을 연장하기 위해 재사용할 수 있는 가능성입니다.,지속 가능성 - 재사용 가능성,지속 가능성 표준,إمكانية إعادة استخدام البطارية,إمكانية إعادة استخدام البطارية بعد تطبيقها الأولي، مما يطيل من عمرها.,توسيع سوق الحياة الثانية,إدارة دورة الحياة,セカンドライフバッテリーマーケット,異なる用途で初回ライフサイクル後のバッテリーを再利用する市場。,セカンドライフ市場拡大,ライフサイクル管理,二次使用电池市场,初始生命周期后在不同应用中重复使用电池的市场。,二次使用市场扩展,生命周期管理,400049
400081,Battery Shock Resistance,Ability of the battery to resist physical shocks during transport and use.,Shock Resistance,Safety Standards,배터리 충격 저항성,운송 및 사용 중 물리적 충격에 대한 배터리의 저항성입니다.,충격 저항,안전 기준,مقاومة صدمات البطارية,قدرة البطارية على مقاومة الصدمات الجسدية أثناء النقل والاستخدام.,الوحدة 8 - إدارة البيانات,إدارة البيانات,バッテリーマネジメントシステム (BMS),バッテリーマネジメントシステム,モジュール8 - データ管理,データ管理,电池管理系统 (BMS),电池管理系统,模块8 - 数据管理,数据管理,400050
